01.07.2017  59.3862000  60.7397000  58.9325000  59.5436000
01.08.2017  60.0633000  60.7503000  58.5320000  58.7306000
01.09.2017  58.5454000  58.5454000  56.9966000  58.0169000
01.10.2017  57.8134000  58.3151000  57.0861000  57.8716000
01.11.2017  58.1179000  60.2490000  58.0869000  58.3311000
01.12.2017  58.5814000  59.2948000  57.4544000  57.6002000
01.01.2018  57.0463000  57.0463000  55.8288000  56.2914000
01.02.2018  56.1840000  58.1718000  55.6717000  55.6717000
01.03.2018  56.3742000  57.7626000  56.3742000  57.2649000
01.04.2018  57.2850000  64.0626000  57.2850000  61.9997000
01.05.2018  63.4860000  63.4860000  61.2610000  62.5937000
01.06.2018  62.0188000  64.0683000  61.8125000  62.7565000
01.07.2018  63.1394000  63.4888000  62.0980000  62.7805000
01.08.2018  62.3497000  68.5259000  62.3497000  68.0821000
01.09.2018  68.0447000  69.9744000  65.5906000  65.5906000
01.10.2018  65.5745000  66.9685000  65.2221000  65.7742000
01.11.2018  65.5962000  67.9975000  65.5799000  66.6342000
01.12.2018  66.5335000  69.5218000  66.2416000  69.4706000
01.01.2019  67.0795000  67.1920000  65.9170000  66.0987000
01.02.2019  65.3577000  66.7044000  65.2582000  65.7570000
01.03.2019  65.8895000  66.0763000  63.7420000  64.7347000
01.04.2019  65.4176000  65.4726000  63.7860000  64.6917000
01.05.2019  64.6314000  65.4703000  64.4156000  65.0583000
01.06.2019  65.3834000  65.5547000  62.5229000  63.0756000
01.07.2019  63.0541000  63.8699000  62.8129000  63.3791000
01.08.2019  63.4172000  66.7840000  63.4172000  66.4897000
01.09.2019  66.6235000  66.9072000  63.7060000  64.4156000
01.10.2019  64.6407000  64.6407000  64.6407000  64.8672000
01.11.2019  63.7748000  63.7748000  63.7748000  63.7748000
01.12.2019  64.4097000  64.4097000  63.7185000  63.7185000
